iter	Passed	Remaining
0	12	12525
1	29	14889
2	38	12927
3	53	13235
4	73	14588
5	83	13892
6	99	14142
7	108	13477
8	117	12942
9	135	13427
10	144	12962
11	152	12562
12	167	12697
13	177	12487
14	189	12434
15	198	12215
16	210	12191
17	217	11851
18	220	11404
19	223	10971
20	227	10585
21	230	10230
22	232	9896
23	235	9588
24	238	9309
25	241	9059
26	244	8818
27	247	8599
28	250	8388
29	253	8199
30	256	8025
31	259	7863
32	262	7704
33	266	7563
34	269	7422
35	272	7291
36	275	7164
37	278	7042
38	280	6920
39	283	6808
40	286	6701
41	289	6607
42	292	6513
43	295	6425
44	298	6341
45	301	6260
46	305	6187
47	308	6110
48	311	6038
49	314	5967
50	317	5901
51	320	5837
52	323	5774
53	326	5713
54	329	5656
55	332	5598
56	335	5542
57	338	5491
58	341	5440
59	344	5392
60	347	5345
61	350	5298
62	353	5253
63	356	5208
64	359	5165
65	362	5128
66	365	5087
67	368	5046
68	371	5008
69	374	4981
70	377	4944
71	380	4907
72	383	4875
73	386	4840
74	389	4806
75	392	4773
76	395	4743
77	398	4713
78	401	4683
79	404	4653
80	407	4624
81	410	4593
82	412	4561
83	415	4534
84	418	4505
85	421	4478
86	424	4455
87	427	4430
88	430	4404
89	433	4382
90	436	4358
91	439	4335
92	442	4318
93	445	4297
94	449	4277
95	451	4252
96	454	4231
97	457	4211
98	460	4191
99	463	4170
100	466	4150
101	469	4134
102	472	4114
103	475	4096
104	478	4076
105	481	4057
106	484	4041
107	487	4024
108	490	4008
109	493	3991
110	496	3974
111	499	3958
112	502	3941
113	505	3925
114	507	3908
115	511	3896
116	514	3886
117	517	3870
118	520	3855
119	524	3843
120	527	3829
121	529	3813
122	532	3799
123	536	3786
124	539	3773
125	542	3759
126	545	3746
127	548	3734
128	551	3721
129	554	3708
130	557	3695
131	559	3681
132	563	3671
133	566	3660
134	569	3649
135	572	3637
136	576	3630
137	579	3619
138	582	3607
139	585	3596
140	588	3587
141	591	3576
142	594	3564
143	597	3554
144	600	3543
145	603	3532
146	606	3521
147	609	3510
148	612	3499
149	615	3488
150	618	3477
151	621	3469
152	624	3459
153	628	3450
154	630	3439
155	633	3429
156	637	3420
157	640	3411
158	643	3402
159	646	3392
160	649	3383
161	652	3373
162	655	3365
163	658	3357
164	661	3347
165	664	3338
166	667	3329
167	670	3322
168	673	3313
169	676	3304
170	679	3295
171	682	3286
172	685	3277
173	688	3270
174	691	3261
175	695	3253
176	697	3244
177	700	3236
178	703	3228
179	707	3221
180	710	3213
181	713	3205
182	716	3197
183	719	3189
184	722	3181
185	725	3173
186	728	3166
187	731	3158
188	734	3151
189	737	3143
190	740	3135
191	743	3127
192	746	3120
193	749	3111
194	752	3105
195	755	3097
196	757	3089
197	760	3081
198	763	3075
199	767	3068
200	770	3061
201	773	3054
202	776	3048
203	779	3040
204	782	3033
205	785	3027
206	788	3020
207	791	3013
208	794	3007
209	797	3000
210	800	2993
211	803	2987
212	806	2981
213	809	2974
214	812	2967
215	815	2960
216	818	2953
217	821	2948
218	824	2941
219	827	2934
220	830	2928
221	833	2922
222	837	2917
223	840	2912
224	843	2906
225	847	2902
226	850	2895
227	853	2888
228	856	2883
229	859	2877
230	862	2870
231	865	2865
232	868	2859
233	872	2856
234	875	2850
235	878	2844
236	881	2838
237	885	2835
238	888	2829
239	891	2823
240	894	2817
241	897	2811
242	900	2805
243	903	2799
244	906	2793
245	909	2788
246	912	2782
247	915	2776
248	918	2771
249	921	2765
250	924	2758
251	927	2754
252	930	2748
253	934	2743
254	937	2737
255	940	2732
256	943	2728
257	946	2722
258	949	2717
259	952	2711
260	955	2705
261	958	2699
262	961	2694
263	964	2689
264	967	2683
265	970	2678
266	973	2673
267	976	2668
268	980	2663
269	983	2657
270	986	2652
271	988	2646
272	991	2640
273	994	2636
274	997	2630
275	1000	2624
276	1003	2619
277	1006	2614
278	1009	2609
279	1012	2604
280	1015	2599
281	1018	2594
282	1021	2589
283	1025	2584
284	1028	2579
285	1031	2574
286	1034	2569
287	1037	2564
288	1040	2560
289	1044	2556
290	1046	2550
291	1050	2545
292	1053	2541
293	1056	2536
294	1059	2531
295	1062	2526
296	1065	2521
297	1068	2516
298	1071	2511
299	1074	2507
300	1077	2502
301	1080	2497
302	1083	2492
303	1086	2487
304	1089	2482
305	1092	2477
306	1095	2472
307	1098	2467
308	1101	2462
309	1104	2458
310	1107	2453
311	1110	2449
312	1113	2444
313	1116	2439
314	1119	2435
315	1123	2431
316	1125	2425
317	1128	2420
318	1131	2415
319	1134	2411
320	1138	2407
321	1141	2402
322	1144	2397
323	1146	2392
324	1149	2388
325	1153	2383
326	1156	2379
327	1159	2374
328	1161	2369
329	1165	2365
330	1167	2360
331	1171	2356
332	1174	2352
333	1177	2347
334	1180	2343
335	1183	2338
336	1186	2334
337	1189	2330
338	1192	2325
339	1195	2321
340	1198	2316
341	1201	2312
342	1204	2308
343	1208	2303
344	1211	2299
345	1213	2294
346	1216	2290
347	1219	2285
348	1222	2280
349	1225	2275
350	1228	2272
351	1231	2267
352	1234	2262
353	1237	2258
354	1240	2253
355	1243	2249
356	1246	2244
357	1249	2240
358	1252	2236
359	1255	2231
360	1258	2226
361	1261	2222
362	1263	2217
363	1266	2213
364	1270	2209
365	1273	2205
366	1276	2201
367	1279	2196
368	1282	2192
369	1285	2188
370	1288	2184
371	1291	2179
372	1294	2175
373	1297	2171
374	1300	2167
375	1303	2163
376	1306	2159
377	1310	2155
378	1313	2151
379	1315	2147
380	1318	2142
381	1321	2138
382	1324	2133
383	1327	2129
384	1330	2125
385	1333	2121
386	1336	2116
387	1340	2114
388	1343	2110
389	1346	2105
390	1349	2101
391	1352	2097
392	1355	2093
393	1358	2089
394	1361	2085
395	1364	2081
396	1367	2077
397	1370	2073
398	1373	2069
399	1377	2065
400	1380	2061
401	1383	2057
402	1385	2052
403	1388	2048
404	1392	2045
405	1395	2041
406	1398	2037
407	1401	2033
408	1404	2029
409	1407	2025
410	1410	2020
411	1413	2016
412	1416	2012
413	1419	2008
414	1422	2004
415	1424	2000
416	1427	1996
417	1430	1992
418	1433	1988
419	1437	1984
420	1440	1981
421	1443	1977
422	1447	1973
423	1450	1970
424	1453	1966
425	1456	1961
426	1459	1957
427	1462	1953
428	1464	1949
429	1467	1945
430	1470	1941
431	1473	1937
432	1476	1933
433	1479	1929
434	1482	1925
435	1485	1921
436	1488	1917
437	1490	1913
